MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,avg_load_factor,avg_passengers,overbooked_rate,avg_seats_booked
1,7,0,0800-0859,2,1,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.178236301460919e-05,9.88941230999822e-05,8,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8851,126.54074074074074,0.1704,143.0
1,7,0,0700-0759,7,1,29,191,Delta Air Lines Inc.,13056,73508,1174,1903352,12460183,0.0001441658849878,0.0001486602009422,3,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.805,128.80588235294118,0.0553,160.0
1,7,0,0600-0659,7,1,27,199,Delta Air Lines Inc.,13056,73508,1174,1903352,12460183,0.0001441658849878,0.0001486602009422,18,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.805,128.80588235294118,0.0553,160.0
1,7,0,0600-0659,9,1,27,180,Delta Air Lines Inc.,13056,73508,1174,1903352,12460183,0.0001441658849878,0.0001486602009422,2,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.805,128.80588235294118,0.0553,160.0
1,7,0,0001-0559,7,1,10,182,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.173723925704242e-06,0.0001246510730715,1,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,,,,
1,7,0,0001-0559,3,1,10,180,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,5,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,0,0700-0759,6,1,29,186,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,2,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,1,0001-0559,7,1,10,186,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,3,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,0,0001-0559,7,1,10,180,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,3,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,0,0600-0659,8,1,27,186,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,1,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,1,2300-2359,6,1,17,180,Frontier Airlines Inc.,13056,9496,581,1903352,1857122,0.0001157256482767,7.134694872433899e-06,3,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.8799,158.34545454545454,0.1621,180.0
1,7,0,0600-0659,1,1,27,149,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,3,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,0,1200-1259,1,1,26,119,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,12,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,0,0600-0659,2,1,27,146,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,7,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,0,0600-0659,4,1,27,181,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,2,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,1,0700-0759,4,1,29,181,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,4,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,0,0800-0859,4,1,25,181,Alaska Airlines Inc.,13056,20315,717,1903352,2884187,3.233146156611231e-05,0.0001746014497265,4,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7992,110.30106809078772,0.0467,138.0
1,7,0,0001-0559,11,1,10,294,Hawaiian Airlines Inc.,13056,6791,80,1903352,905990,0.0001204942176112,0.0001978496657113,6,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7995,151.91156462585033,0.051,190.0
1,7,0,0900-0959,11,1,28,294,Hawaiian Airlines Inc.,13056,6791,80,1903352,905990,0.0001204942176112,0.0001978496657113,5,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7995,151.91156462585033,0.051,190.0
1,7,0,0700-0759,1,1,29,181,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82082928995461e-05,0.000177287219593,5,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7959,127.34583333333333,0.0486,160.0
1,7,0,0600-0659,8,1,27,187,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82082928995461e-05,0.000177287219593,18,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,0.7959,127.34583333333333,0.0486,160.0
1,7,0,0800-0859,2,1,25,173,United Air Lines Inc.,13056,46218,1108,1903352,8501631,0.0002538042406215,0.0002289854734932,6,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,,,,
1,7,0,0800-0859,3,1,25,142,United Air Lines Inc.,13056,46218,1108,1903352,8501631,0.0002538042406215,0.0002289854734932,22,McCarran International,36.08,-115.152,NONE,0.0,0.0,0.0,65.0,2.91,,,,
